id,role,feature
67,Group 4,The system must allow each user to indicate that a bed is available on specific dates
68,Group 4,The system must offer users a mechanism for searching available beds
69,Group 4,The system must provide a filtering mechanism for beds based on one or more parameters specified by the user: dates location feedback average cost and requested services
70,Group 4,If the booking request is valid the system must allow the user to book another user?s bed
71,Group 4,If the booking request is invalid the system must reject it and request modifications
72,Group 4,The system must allow each user to view their booked beds past and future in some order
73,Group 4,The system must send a notification to the owner of the bed for each new booking request
74,Group 4,The system must allow the owner of the bed to accept or reject each booking request
75,Group 4,If the owner receives multiple booking requests for the same bed on the same dates once one is accepted the system must automatically reject all the others
76,Group 4,For each new booking the system must associate a unique identifier at the moment of acceptance
77,Group 4,The system must update the availability of the bed when a booking request is accepted or canceled
78,Group 4,On the payment day at 8:00 AM (Italian time) the system must notify the user who booked to check if their balance is sufficient
79,Group 4,The system automatically processes the payment for the booking at 12:00 PM on the day before the check-in date
80,Group 4,At the moment of payment the system must subtract from the user the total cost of the bed in points
81,Group 4,If at the moment of payment the user cannot pay the system must automatically cancel the booking
82,Group 4,At the moment of payment the system must add to the host user 90% of the total cost of the bed in points
83,Group 4,At the moment of payment the system must deduct 10% of the total cost of the bed in points
84,Group 4,The system must provide a mechanism to cancel future bookings
85,Group 4,If payment has already occurred the system does not provide refunds
86,Group 4,At the end of the stay for one week the system must allow users who stayed to leave feedback about the stay
87,Group 4,At the end of the stay for one week the system must allow users who offered a bed to leave feedback about the guest
88,Group 4,For each user the system must allow other users to view the feedback they received
89,Group 4,For each bed the system must allow the viewing of all feedback related to all users
90,Group 4,The system must allow each user to view their balance
91,Group 4,The system must allow each user to purchase points via card payment
92,Group 4,The system must manage the payment of points
93,Group 4,For each user the system must provide a section containing their personal data
94,Group 5,The system must allow the landlord user to make their accommodation available for rent
95,Group 5,The system must prevent the publication of the accommodation if photos are not provided
96,Group 5,The system must prevent the publication of the accommodation if the rental period is not provided
97,Group 5,The system must prevent the publication of the accommodation if the address is not provided
98,Group 5,The system must prevent the publication of the accommodation if the cost in points per night is not provided
99,Group 5,The system must allow the tenant user to add sheets and towels as additional comforts
100,Group 5,The system must allow the tenant user to choose the rental cost before publishing the room
101,Group 5,The system must allow the guest user to verify the reachability of the accommodation
102,Group 5,The system must prevent the tenant from renting the room to multiple users on overlapping dates
103,Group 5,The system must prevent the guest from renting multiple rooms on overlapping dates
104,Group 5,The system must recognize a university email address from a non-university one
105,Group 5,The system must identify the university associated with the email address
106,Group 5,The system must verify whether the user is already registered
107,Group 5,The system must allow the creation of a new profile
108,Group 5,The system must periodically verify that the user is still an active university student
109,Group 5,The system must allow the user to log out
110,Group 5,The system must allow the user to delete their account
111,Group 5,The system must be able to redirect the user to the university?s authentication service
112,Group 5,The system must be able to receive an authentication response from the university
113,Group 5,The system must receive from the university the information related to the user
114,Group 5,The system must allow a user to book a room or a couch
115,Group 5,The system must allow the insertion of the stay period
116,Group 5,The system must prevent the booking if the stay exceeds 7 consecutive days
117,Group 5,The system must notify errors or unavailability during booking
118,Group 5,The system must allow the viewing and selection of available options
119,Group 5,The system must calculate the total price in points
120,Group 5,The system must show a booking summary
121,Group 5,The system must request a second confirmation before purchase
122,Group 5,The system must not deduct points at the moment of booking
123,Group 5,The system must notify the confirmation of the booking
124,Group 5,The system must update the availability of the accommodation
125,Group 5,The system must allow the cancellation of the booking with point refund
126,Group 5,The system must allow the host to view approve and reject bookings
127,Group 5,The system must make the accommodation available again in case of rejection
128,Group 5,The system must allow each student to have a wallet
129,Group 5,The system assigns 50 points at first authentication
130,Group 5,The system retains the points once the booking is completed
131,Group 5,The system rejects the booking if the points are not sufficient
132,Group 5,The system sends 90% of the points to the landlord student
133,Group 5,The system sends the points five hours before the start of the stay
134,Group 5,The system retains 10% of the points on point purchases
135,Group 5,The system must allow the purchase of points
136,Group 5,The system allows the purchase of at least 20 points
137,Group 5,The system retains a 2% commission on single purchases
138,Group 5,The system allows the purchase of 50 100 150-point packages
139,Group 5,The system retains a 1% commission on package purchases
140,Group 5,The system does not allow the sale of points between students
141,Group 5,The system does not allow the conversion of points into currency
142,Group 5,The system must allow the user to review a room
143,Group 5,The system must verify that the user has stayed in the accommodation
144,Group 5,The system must allow the host to review the student
145,Group 5,The system must verify that the host has hosted the user
146,Group 5,The system must manage the average rating of the room
147,Group 5,The system must manage the average rating of the user
148,Group 5,The system must have a search bar
149,Group 5,The system must allow search filters
150,Group 5,The system must allow the viewing of an accommodation in a selected period
151,Group 5,The system must verify the availability of the accommodation in the selected period
152,Group 5,The system must keep track of the search history
153,Group 6,The system must interact with the universities' authentication systems
154,Group 6,The system must allow student registration
155,Group 6,The system must allow student access
156,Group 6,The system must allow the assignment of points
157,Group 6,The system must allow the owner to publish a listing for the bed
158,Group 6,The system must allow the owner to modify the listing
159,Group 6,The system must allow the tenant to book a bed
160,Group 6,The system must be able to verify the origin of the tenant
161,Group 6,The system must allow the student to leave a review
162,Group 6,The system must allow the student to view the reviews
163,Group 7,The system must allow the registration of university students
164,Group 7,The system must verify that the student is indeed a university student
165,Group 7,The system must redirect to the student's university login page
166,Group 7,The system must assign points to each student at the moment of registration
167,Group 7,The system must deduct points when a service is used
168,Group 7,The system must give the Host 90% of the points that the Guest uses for a service
169,Group 7,The system must reserve for UniRoomShare 10% of the points spent by a Guest for a service
170,Group 7,The system must prevent service bookings from exceeding 7 consecutive nights
171,Group 7,The system must handle the purchase of points by a user using real money
172,Group 7,The system must ensure that all fields of a post are filled in
173,Group 7,The system must allow specifying whether the service includes any extras in the fields
174,Group 7,The system must manage user notifications in a dedicated section of the app
175,Group 7,The system must manage messages between users in a dedicated section of the app with a chat
176,Group 7,The system must notify the Host of the service when the Guest has arrived at the location
177,Group 7,The system must notify the Host of the service when the Guest has vacated the place
178,Group 7,The system must request feedback from both Guest and Host after the conclusion of the service
179,Group 7,The system must have a dedicated section for each user profile containing contact information description services offered chat number of services provided average ratings as host and guest and list of received feedback
180,Group 7,The system must notify the user when they are running low on points
181,Group 7,The system must notify the user when they have run out of points
182,Group 7,The system must show the user the history of their points with date time point change and description
183,Group 8,The app must allow students to request shared accommodation
184,Group 8,The request must include the accommodation period and the university city of the accommodation
185,Group 8,The requested accommodation must be located in a university city where the requesting student does not study
186,Group 8,The accommodation period specified in the request must have a duration of less than 8 days
187,Group 8,The app must allow students to register
188,Group 8,The student must register with their university email
189,Group 8,The app must redirect the student to the authentication page of the university where they study
190,Group 8,The app must verify that authentication on the university?s authentication page was successful
191,Group 8,The app must have a points system
192,Group 8,The student must receive a fixed number of points after registration
193,Group 8,The student must spend points when occupying accommodation
194,Group 8,The student must be able to offer their own accommodation through a listing
195,Group 8,The accommodation must have a type
196,Group 8,The type must be room or couch
197,Group 8,The app must take 10% of the points paid by a student who occupied an accommodation
198,Group 8,The student offering the accommodation must earn 90% of the points paid by the student who occupied it
199,Group 8,The student must specify the availability period address and cost in points per night of the offered accommodation
200,Group 8,The student must publish images related to the offered accommodation
201,Group 8,The presence of towels and/or sheets must be able to result in a different price for the accommodation
202,Group 8,The student offering or occupying accommodation must be able to leave reviews about the student who occupied or offered the accommodation
203,Group 8,The review must have a star rating and a description
204,Group 8,The student must be able to purchase points via credit or debit card
205,Group 8,The student must be able to register their credit or debit cards
206,Group 8,The student must not be able to sell points
207,Group 8,The student requesting accommodation must be able to message the student offering it and vice versa
208,Group 8,The app must have a listing search engine
209,Group 8,The search engine must allow filtering listings by city cost in points per night availability period type and reviews
210,Group 8,The student must be able to view the accommodation details of a listing
211,Group 8,The student must have a section dedicated to favorite listings
212,Group 8,The student must be able to add listings to favorites
213,Group 8,The student must be able to view their points balance
214,Group 8,The points balance must be a positive integer
215,Group 8,The student must not be able to spend more points than they possess
216,Group 8,The student must be able to cancel a submitted request
217,Group 8,A cancellation must refund the requesting student the points spent
218,Group 8,A refund must return 80% of the points spent
219,Group 9,The system must allow registration through an official university email
220,Group 9,The system must give N free points to the user upon their first registration
221,Group 9,The system must allow users to create listings related to rooms
222,Group 9,The system must allow users to add a mandatory room description to the listings
223,Group 9,The system must allow users to book a stay of up to 7 nights through a dedicated section
224,Group 9,The system must allow users to add add-ons to the room listing
225,Group 9,The system must transfer the room?s cost in points from the buyer to the host once the booking is made
226,Group 9,The system must retain 10% of the points transferred to the host for each purchased listing
227,Group 9,The system must allow users to purchase points through an in-app shop
228,Group 9,The system must allow users to redeem gift cards with points through the shop
229,Group 9,The system must allow the host to leave feedback for the guest
230,Group 9,The system must allow the guest to leave feedback for the host
231,Group 9,The system must allow the guest to leave feedback on the accommodation
232,Group 9,The system must allow the viewing of feedback related to a listing
233,Group 9,The system must allow the viewing of feedback related to each user as host and as guest
234,Group 9,The system must allow reporting certain users for inappropriate behavior
235,Group 9,The system must provide a simple messaging mechanism to enable communication between users
236,Group 10,The system allows registration only with an official university email
237,Group 10,The system credits a points bonus to the user upon completing registration
238,Group 10,The system allows a student to request accommodation in a city different from their study city
239,Group 10,The system rejects accommodation requests lasting more than 7 nights
240,Group 10,The system allows a host to publish an offer with photos address city availability periods and points per night
241,Group 10,The system allows indicating whether sheets and towels are provided and applying additional point costs
242,Group 10,The system supports points per night chosen by the host and variable by date
243,Group 10,The system allows the guest to send a booking request for an available offer
244,Group 10,The system allows the host to confirm or reject a booking request
245,Group 10,Only upon host confirmation does the system deduct points from the guest credit the host and retain the 10% commission
246,Group 10,The system decreases a student?s points when they use a room
247,Group 10,The system increases a student?s points when they let someone use their room
248,Group 10,The system allows students to purchase points from UniRoomShare
249,Group 10,The system does not allow students to sell points
250,Group 10,The system allows hosts and guests to leave feedback after the stay is completed
